Name,Rating,Review,Description,Price_Range,Label,Category,Location
작은뜰,5.0,14,정성스런 음식이 가득한 캐주얼 와인 다이닝,점심 1 - 2만원 · 저녁 1 - 3만원,1,와인,논현
솔솥 역삼점,4.5,1,"스테이크, 도미관자 솥밥이 맛있는 프리미엄 솥밥 맛집",점심 저녁 동일가 1 - 3만원,1,한식,역삼
열기 신당점,4.8,21,다양한 주류들과 함께 즐기는 화로구이 소고기 맛집,점심 영업안함 · 저녁 1 - 3만원,1,소고기구이,신당
교우,5.0,5,다양한 종류의 술과 곁들일 안주를 즐기는 공간,점심 영업안함 · 저녁 1 - 3만원,1,이자카야,중랑
태초,4.1,2,"한국적 인테리어에서 한국 전통주 기반으로 한 전통주 칵테일과 한국적 안주, 디저트를 즐길 수 있는 컨템퍼러리 바",점심 영업안함 · 저녁 1 - 3만원,1,전통주,명동
카프스시,5.0,1,매일 아침 공수한 재료를 사용해 깔끔하고 싱싱한 초밥 맛집,점심 영업안함 · 저녁 1 - 3만원,1,"스시,초밥",방이
달리181 을지로점,4.9,94,분위기 좋은 스타코 인테리어의 양식 맛집 레스토랑,점심 저녁 동일가 1 - 3만원,1,파스타,을지로
"안녕, 제주",4.6,7,"10~14일 동안 숙성시킨 돼지고기를 80%(미디엄웰던)만 익혀, 고기의 육즙이 가장 많은 상태로 15~20분 내에 완벌로 제공",점심 저녁 동일가 1 - 3만원,1,돼지고기구이,선릉
적토발효구이,4.8,186,초벌구이 해주는 용산 3대 삼겹살,주말 점심 1-3만원 · 저녁 1-3만원,1,돼지고기구이,용산
비노이,4.9,33,와인 한 잔 하기 좋은 감성적인 분위기아늑한 공간의 와인바❤️ 데이트 환영❤️ 모임 환영❤️ 단체&회식 환영,점심 영업안함 · 저녁 1 - 3만원,1,와인,종로
대포집 가락본점,5.0,2,삼합과 맛있는 음식,점심 영업안함 · 저녁 1 - 3만원,1,"해물,생선요리",가락
미식본부,4.9,69,급냉삼겹살과 한우자돌박이를 다양한 해물과 즐길 수 있는 곳,점심 저녁 동일가 1 - 3만원,1,"육류,고기요리",역삼
Thursdaydrinkclub (티디씨),4.9,3,"다양한 싱글몰트 위스키, 칵테일을 맛있는 요리와 함께 유선 예약으로 빠르게 예약이 가능합니다!",점심 영업안함 · 저녁 1 - 3만원,1,"칵테일,위스키",남영
서울바당,4.8,3,혜화동 유일무이 해산물포차!!,점심 영업안함 · 저녁 1 - 3만원,1,"해물,생선요리",혜화
서교주담 건대점,4.7,3,분위기 좋고 안주 맛있는 한식주점,점심 영업안함 · 저녁 1 - 3만원,1,한식,건대
코다차야 사당점,5.0,1,"일식, 양식, 한식을 한번에 즐기는 코다차야",점심 영업안함 · 저녁 1 - 3만원,1,이자카야,방배
요비,4.9,3,일소일소 한 잔의 술에 한 잔의 미소가 있는 집,점심 영업안함 · 저녁 1 - 3만원,1,이자카야,건대
평양냉면 진청수,5.0,2,투박하고 세련되지 않았지만 그 안에 깃든 정성의 평양냉면,점심 저녁 동일가 1 - 3만원,1,"국수,냉면",청담
야사이,5.0,1,일본 가정식 기반의 캐주얼 이자카야&다찌노미 술집,점심 영업안함 · 저녁 1 - 3만원,1,이자카야,연남
LAB41,4.7,21,시그니쳐인 뇨끼와 다양한 음식들과 주류를 즐길 수 있는 공간,점심 저녁 동일가 1 - 3만원,1,이탈리아음식,군자
누이테이블,4.9,2,Nouilles 누이는 국수라는 뜻으로 파스타를 전문으로 하는 가게입니다.,점심 저녁 동일가 1 - 3만원,1,이탈리아음식,성수
백석,4.8,11,"360시간 저온숙성, 1등급 마늘암퇘지 전문점",점심 저녁 동일가 1 - 3만원,1,돼지고기구이,잠실새내
족발야시장&무청감자탕 광화문본점,3.9,21,국내산 족발을 매일 끓이는 육수로 조리 하는 '족발야시장'과 부드러운 가을 무청 시래기와 프리미엄 목뼈로 만든 '무청감자탕'의 만남,점심 저녁 동일가 1 - 3만원,1,"족발,보쌈",광화문
르부아(Le bois),4.9,34,성북천의 작은 프랑스 비스트로 르부아🇫🇷 제철 식재료를 이용해 계절마다 음식의 변화를 주는 공간,점심 저녁 동일가 1 - 3만원,1,프랑스음식,안암
우아정,4.5,2,아늑한 분위기 속 한국인의 한식주점,점심 영업안함 · 저녁 1 - 3만원,1,전통주,면목
아지 신당,4.6,11,4월 오픈한 투박한 감성의 원시구이(이로리야끼)전문점,점심 영업안함 · 저녁 1 - 3만원,1,일식,신당
모츠모츠,4.9,9,독자적인 정성 가득 레시피의 모츠나베와 일식 요리가 있는 공간,점심 영업안함 · 저녁 1 - 3만원,1,일식,연남
을지로 맛집 행2PM8PM,5.0,3,365일 인디가수의 라이브 공연과 루프탑이 있는 1세대 힙지로 맛집 겸 술집[예약없이 현장방문도 가능합니다. 테이블40개],점심 저녁 동일가 1 - 3만원,1,와인,을지로
잘하는집이야 송파점,4.7,7,"낮은 맛있게, 저녁은 기분좋게! 파스타, 덮밥, 쌀국수 반상과 다양한 PUB 메뉴, 하이볼을 착한 가격에 즐길 수 있는 방이동 최고의 맛집",점심 저녁 동일가 1 - 3만원,1,퓨전음식,방이
그림나베 내방역점,5.0,9,"대한민국 최초, 최다 판매 저탄고지, 저칼로리 밀푀유나베 전문점",점심 저녁 동일가 1 - 3만원,1,샤브샤브,방배
펄스,5.0,7,맛있는 다국적 퓨전 요리와 다양한 주류를 즐길 수 있는 공간,점심 영업안함 · 저녁 1 - 3만원,1,다이닝바,합정
제제 양재점,4.7,33,팔레드신 출신 셰프의 캐쥬얼하고 세련된 모던 차이니즈 레스토랑,점심 저녁 동일가 1 - 3만원,1,중식,양재
